Imp_nouns,Aspect
atmosphere,Culture and Values
balance,Work life balance
benefits,Benefits and compensation
bonus,Benefits and compensation
brand,Career Opportunities
business,Career Opportunities
career,Career Opportunities
cons,Benefits and compensation
culture,Culture and Values
development,Career Opportunities
employee,Management
employees,Management
environment,Culture and Values
experience,Career Opportunities
exposure,Career Opportunities
facilities,Benefits and compensation
growth,Career Opportunities
home,Work life balance
hours,Work life balance
job,Career Opportunities
lack,Management
leadership,Management
life,Work life balance
management,Management
manager,Management
managers,Management
office,Work life balance
opportunities,Career Opportunities
opportunity,Career Opportunities
package,Benefits and compensation
people,Culture and Values
place,Management
policies,Culture and Values
politics,Management
pressure,Management
projects,Career Opportunities
salaries,Benefits and compensation
salary,Benefits and compensation
sales,Culture and Values
staff,Career Opportunities
support,Management
team,Management
technology,Career Opportunities
time,Work life balance
training,Career Opportunities
